"";"regiao";"estado";"municipio";"coduf";"codmun";"codRegiaoSaude";"nomeRegiaoSaude";"data";"semanaEpi";"populacaoTCU2019";"casosAcumulado";"casosNovos";"obitosAcumulado";"obitosNovos";"Recuperadosnovos";"emAcompanhamentoNovos";"interior/metropolitana"
"1";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-03-27;13;12252023;0;0;0;0;NA;NA;1
"2";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-03-28;13;12252023;1149;1149;76;76;NA;NA;1
"3";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-03-29;14;12252023;1183;34;89;13;NA;NA;1
"4";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-03-30;14;12252023;1233;50;103;14;NA;NA;1
"5";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-03-31;14;12252023;1885;652;121;18;NA;NA;1
"6";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-04-01;14;12252023;2418;533;144;23;NA;NA;1
"7";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-04-02;14;12252023;2815;397;164;20;NA;NA;1
"8";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-04-03;14;12252023;3202;387;186;22;NA;NA;1
"9";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-04-04;14;12252023;3496;294;212;26;NA;NA;1
"10";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-04-05;15;12252023;3612;116;220;8;NA;NA;1
"11";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-04-06;15;12252023;3754;142;244;24;NA;NA;1
"12";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-04-07;15;12252023;4258;504;296;52;NA;NA;1
"13";"Sudeste";"SP";"São Paulo";"35";355030;35016;"SAO PAULO";2020-04-08;15;12252023;4946;688;339;43;NA;NA;1
